HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
REBOUND (DEF) by KLIE, Adam	19:41			MISSED JUMPER by Polosky,Gregg
GOOD! 3 PTR by OSHITA, Christian	19:31	3-0	H 3	
ASSIST by LIPOVIC, Aleks	19:31			
REBOUND (DEF) by OSHITA, Christian	19:15			MISSED LAYUP by Polosky,Gregg
GOOD! FT SHOT by OSHITA, Christian	18:56	4-0	H 4	FOUL by Polosky,Gregg (P1T1)
MISSED FT SHOT by OSHITA, Christian	18:56			
REBOUND (OFF) by KLIE, Adam	18:56			
MISSED LAYUP by HANSEN, Chris	18:39			REBOUND (DEF) by Ducree,Julian
REBOUND (DEF) by KLIE, Adam	18:13			MISSED JUMPER by Bouyea,Jonquis
GOOD! 3 PTR by LIPOVIC, Aleks	18:07	7-0	H 7	
ASSIST by KLIE, Adam	18:07			
	17:52			MISSED JUMPER by Ducree,Julian
	17:52			REBOUND (OFF) by Ducree,Julian
	17:47	7-2	H 5	GOOD! DUNK by Ducree,Julian [PNT]
GOOD! 3 PTR by OSHITA, Christian	17:27	10-2	H 8	
ASSIST by KLIE, Adam	17:27			
REBOUND (DEF) by OSHITA, Christian	16:55			MISSED LAYUP by Bouyea,Jonquis
TURNOVR by BUAKU, George	16:42			
	16:40			STEAL by Warren,Kevin
	16:20	10-4	H 6	GOOD! LAYUP by Ducree,Julian [PNT]
	16:20			ASSIST by Bouyea,Jonquis
MISSED 3 PTR by OSHITA, Christian	16:07			REBOUND (DEF) by Covarrubias,Joe
	15:45			TURNOVR by Bouyea,Jonquis
STEAL by KLIE, Adam	15:44			
	15:41			FOUL by Ducree,Julian (P1T2)
TIMEOUT MEDIA	15:41			
GOOD! FT SHOT by LIPOVIC, Aleks	15:41	11-4	H 7	
GOOD! FT SHOT by LIPOVIC, Aleks	15:41	12-4	H 8	
SUB IN : FRASER, Kenny	15:41			SUB IN : Bejsovec,Matt
SUB IN : BALLESTERO, Anthony	15:41			SUB IN : Johnson,Jahvon
SUB OUT: BUAKU, George	15:41			SUB OUT: Ducree,Julian
SUB OUT: HANSEN, Chris	15:41			SUB OUT: Covarrubias,Joe
	15:28	12-6	H 6	GOOD! LAYUP by Bouyea,Jonquis [PNT]
SUB IN : SHOEMAKER, Michael	15:25			
SUB OUT: FRASER, Kenny	15:25			
MISSED JUMPER by SHOEMAKER, Michael	15:04			
REBOUND (OFF) by SHOEMAKER, Michael	15:04			
MISSED LAYUP by SHOEMAKER, Michael	15:01			REBOUND (DEF) by Polosky,Gregg
FOUL by BALLESTERO, Anthony (P1T1)	14:50			
REBOUND (DEF) by SHOEMAKER, Michael	14:40			MISSED 3 PTR by Warren,Kevin
GOOD! 3 PTR by LIPOVIC, Aleks	14:20	15-6	H 9	
ASSIST by OSHITA, Christian	14:20			
FOUL by BALLESTERO, Anthony (P2T2)	13:58			
SUB IN : BUAKU, George	13:58			SUB IN : Ducree,Julian
SUB OUT: BALLESTERO, Anthony	13:58			SUB OUT: Polosky,Gregg
FOUL by BUAKU, George (P1T3)	13:52			MISSED FT SHOT by Bouyea,Jonquis
	13:52			REBOUND (OFF) by (DEADBALL)
REBOUND (DEF) by SHOEMAKER, Michael	13:52			MISSED FT SHOT by Bouyea,Jonquis
SUB IN : EVERMAN, Scott	13:52			
SUB OUT: OSHITA, Christian	13:52			
MISSED 3 PTR by SHOEMAKER, Michael	13:38			REBOUND (DEF) by Ducree,Julian
BLOCK by LIPOVIC, Aleks	13:23			MISSED LAYUP by Johnson,Jahvon
REBOUND (DEF) by KLIE, Adam	13:21			
MISSED LAYUP by BUAKU, George	13:11			BLOCK by Bejsovec,Matt
	13:10			REBOUND (DEF) by Bouyea,Jonquis
FOUL by EVERMAN, Scott (P1T4)	13:07	15-7	H 8	GOOD! FT SHOT by Warren,Kevin
	13:07	15-8	H 7	GOOD! FT SHOT by Warren,Kevin
SUB IN : HANSEN, Chris	13:07			SUB IN : Covarrubias,Joe
SUB OUT: SHOEMAKER, Michael	13:07			SUB OUT: Bouyea,Jonquis
MISSED 3 PTR by LIPOVIC, Aleks	12:45			REBOUND (DEF) by Johnson,Jahvon
FOUL by LIPOVIC, Aleks (P1T5)	12:19			
SUB IN : BROOKS, Joshua	12:19			
SUB OUT: LIPOVIC, Aleks	12:19			
