HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
GOOD! LAYUP by SAMPTON, Dalayna [PNT]	09:46	2-0	H 2	
REBOUND (DEF) by MOUNIER, Beth	09:33			MISSED JUMPER by Hill,McKenna
MISSED 3 PTR by YANG, Joleen	09:20			REBOUND (DEF) by Evans,Jessie
	09:03	2-3	V 1	GOOD! 3 PTR by Dorn,Victoria
	09:03			ASSIST by Keaton,Courtney
MISSED LAYUP by SAMPTON, Dalayna	08:47			REBOUND (DEF) by Keaton,Courtney
REBOUND (DEF) by MOUNIER, Beth	08:23			MISSED JUMPER by Keaton,Courtney
GOOD! LAYUP by YANG, Joleen [PNT]	08:08	4-3	H 1	
	07:43			MISSED 3 PTR by Evans,Jessie
	07:43			REBOUND (OFF) by Keaton,Courtney
	07:40	4-5	V 1	GOOD! JUMPER by Keaton,Courtney [PNT]
MISSED FT SHOT by YANG, Joleen	07:22			FOUL by Smith,Aubri (P1T1)
REBOUND (OFF) by (DEADBALL)	07:22			
GOOD! FT SHOT by YANG, Joleen	07:22	5-5	T 1	
REBOUND (DEF) by (TEAM)	07:12			MISSED JUMPER by Smith,Aubri
GOOD! LAYUP by SAMPTON, Dalayna [PNT]	06:54	7-5	H 2	
ASSIST by MOUNIER, Beth	06:54			
	06:32			TURNOVR by Smith,Aubri
	06:32			SUB IN : Fujioka,Kylie
	06:32			SUB OUT: Keaton,Courtney
GOOD! LAYUP by SAMPTON, Dalayna [PNT]	06:17	9-5	H 4	
ASSIST by MOUNIER, Beth	06:17			
BLOCK by SAMPTON, Dalayna	06:00			MISSED JUMPER by Hill,McKenna
REBOUND (DEF) by YANG, Joleen	05:58			
GOOD! LAYUP by YANG, Joleen [FB/PNT]	05:54	11-5	H 6	
STEAL by SAMPTON, Dalayna	05:39			TURNOVR by Smith,Aubri
GOOD! LAYUP by SAMPTON, Dalayna [PNT]	05:13	13-5	H 8	
	04:49	13-7	H 6	GOOD! JUMPER by Dorn,Victoria [PNT]
	04:30			FOUL by Dorn,Victoria (P1T2)
TIMEOUT MEDIA	04:30			
SUB IN : WILLIAMS, Mikayla	04:30			SUB IN : Price,Jordana
SUB IN : ANDERSON, Haley	04:30			SUB IN : Golfo,Christine
SUB OUT: SAMPTON, Dalayna	04:30			SUB IN : Sperling,Alexa
SUB OUT: MACLEOD, Cassie	04:30			SUB OUT: Fujioka,Kylie
	04:30			SUB OUT: Smith,Aubri
	04:30			SUB OUT: Evans,Jessie
TURNOVR by YANG, Joleen	04:11			
	04:10			STEAL by Hill,McKenna
BLOCK by WILLIAMS, Mikayla	03:58			MISSED LAYUP by Dorn,Victoria
REBOUND (DEF) by WILLIAMS, Mikayla	03:56			
GOOD! LAYUP by MOUNIER, Beth [PNT]	03:35	15-7	H 8	
FOUL by SONG, Paige (P1T1)	03:07			
SUB IN : HUGHES, Marcella	03:07			SUB IN : Saelio,Jennifer
SUB IN : MACLEOD, Cassie	03:07			SUB OUT: Dorn,Victoria
SUB OUT: SONG, Paige	03:07			
SUB OUT: MOUNIER, Beth	03:07			
	03:03	15-9	H 6	GOOD! JUMPER by Golfo,Christine
MISSED 3 PTR by HUGHES, Marcella	02:41			REBOUND (DEF) by Hill,McKenna
	02:28			TURNOVR by Dorn,Victoria
	02:11			SUB IN : Keaton,Courtney
	02:11			SUB OUT: Hill,McKenna
MISSED 3 PTR by ANDERSON, Haley	02:08			
REBOUND (OFF) by WILLIAMS, Mikayla	02:08			
GOOD! FT SHOT by WILLIAMS, Mikayla	02:06	16-9	H 7	FOUL by Sperling,Alexa (P1T3)
